time,n_waiting,n_busy
300.0000,56,4
301.5000,55,4
303.0000,59,4
304.5000,58,4
306.0000,62,4
307.5000,65,4
309.0000,62,4
310.5000,58,4
312.0000,55,4
313.5000,58,4
315.0000,53,4
316.5000,53,4
318.0000,53,4
319.5000,52,4
321.0000,48,4
322.5000,48,4
324.0000,50,4
325.5000,51,4
327.0000,56,4
328.5000,55,4
330.0000,53,4
331.5000,50,4
333.0000,49,4
334.5000,50,4
336.0000,52,4
337.5000,58,4
339.0000,61,4
340.5000,61,4
342.0000,65,4
343.5000,67,4
345.0000,70,4
346.5000,68,4
348.0000,60,4
349.5000,58,4
351.0000,56,4
352.5000,54,4
354.0000,53,4
355.5000,67,4
357.0000,63,4
358.5000,58,4
360.0000,55,4
361.5000,50,4
363.0000,55,4
364.5000,51,4
366.0000,58,4
367.5000,54,4
369.0000,55,4
370.5000,61,4
372.0000,61,4
373.5000,60,4
375.0000,64,4
376.5000,64,4
378.0000,62,4
379.5000,61,4
381.0000,59,4
382.5000,65,4
384.0000,62,4
385.5000,67,4
387.0000,66,4
388.5000,68,4
390.0000,75,4
391.5000,76,4
393.0000,75,4
394.5000,73,4
396.0000,74,4
397.5000,72,4
399.0000,68,4
400.5000,68,4
402.0000,70,4
403.5000,75,4
405.0000,72,4
406.5000,69,4
408.0000,76,4
409.5000,75,4
411.0000,82,4
412.5000,80,4
414.0000,77,4
415.5000,77,4
417.0000,73,4
418.5000,76,4
420.0000,73,4
421.5000,73,4
423.0000,77,4
424.5000,83,4
426.0000,79,4
427.5000,75,4
429.0000,84,4
430.5000,79,4
432.0000,80,4
433.5000,81,4
435.0000,83,4
436.5000,81,4
438.0000,74,4
439.5000,74,4
441.0000,75,4
442.5000,72,4
444.0000,83,4
445.5000,82,4
447.0000,84,4
448.5000,92,4
450.0000,93,4
451.5000,97,4
453.0000,99,4
454.5000,100,4
456.0000,101,4
457.5000,96,4
459.0000,98,4
460.5000,94,4
462.0000,94,4
463.5000,96,4
465.0000,95,4
466.5000,95,4
468.0000,90,4
469.5000,94,4
471.0000,93,4
472.5000,95,4
474.0000,96,4
475.5000,96,4
477.0000,94,4
478.5000,85,4
480.0000,82,4
481.5000,80,4
483.0000,88,4
484.5000,95,4
486.0000,93,4
487.5000,95,4
489.0000,94,4
490.5000,90,4
492.0000,93,4
493.5000,92,4
495.0000,88,4
496.5000,91,4
498.0000,88,4
499.5000,89,4
501.0000,85,4
502.5000,84,4
504.0000,83,4
505.5000,83,4
507.0000,82,4
508.5000,88,4
510.0000,89,4
511.5000,90,4
513.0000,90,4
514.5000,91,4
516.0000,86,4
517.5000,93,4
519.0000,91,4
520.5000,97,4
522.0000,96,4
523.5000,103,4
525.0000,100,4
526.5000,102,4
528.0000,100,4
529.5000,101,4
531.0000,104,4
532.5000,108,4
534.0000,105,4
535.5000,100,4
537.0000,96,4
538.5000,94,4
540.0000,91,4
541.5000,90,4
543.0000,88,4
544.5000,95,4
546.0000,99,4
547.5000,105,4
549.0000,101,4
550.5000,103,4
552.0000,98,4
553.5000,96,4
555.0000,95,4
556.5000,101,4
558.0000,111,4
559.5000,115,4
561.0000,126,4
562.5000,125,4
564.0000,134,4
565.5000,139,4
567.0000,148,4
568.5000,146,4
570.0000,153,4
571.5000,147,4
573.0000,146,4
574.5000,146,4
576.0000,143,4
577.5000,145,4
579.0000,143,4
580.5000,152,4
582.0000,156,4
583.5000,158,4
585.0000,159,4
586.5000,157,4
588.0000,161,4
589.5000,161,4
591.0000,156,4
592.5000,154,4
594.0000,151,4
595.5000,150,4
597.0000,144,4
598.5000,141,4
600.0000,134,4
601.5000,135,4
603.0000,142,4
604.5000,144,4
606.0000,152,4
607.5000,156,4
609.0000,153,4
610.5000,153,4
612.0000,152,4
613.5000,155,4
615.0000,153,4
616.5000,151,4
618.0000,146,4
619.5000,152,4
621.0000,151,4
622.5000,149,4
624.0000,157,4
625.5000,155,4
627.0000,150,4
628.5000,140,4
630.0000,145,4
631.5000,140,4
633.0000,139,4
634.5000,139,4
636.0000,142,4
637.5000,141,4
639.0000,139,4
640.5000,141,4
642.0000,143,4
643.5000,142,4
645.0000,144,4
646.5000,144,4
648.0000,144,4
649.5000,137,4
651.0000,137,4
652.5000,135,4
654.0000,131,4
655.5000,136,4
657.0000,137,4
658.5000,137,4
660.0000,133,4
661.5000,137,4
663.0000,140,4
664.5000,142,4
666.0000,143,4
667.5000,149,4
669.0000,155,4
670.5000,150,4
672.0000,153,4
673.5000,159,4
675.0000,154,4
676.5000,154,4
678.0000,156,4
679.5000,153,4
681.0000,150,4
682.5000,148,4
684.0000,145,4
685.5000,144,4
687.0000,143,4
688.5000,139,4
690.0000,135,4
691.5000,141,4
693.0000,141,4
694.5000,143,4
696.0000,143,4
697.5000,145,4
699.0000,142,4
700.5000,145,4
702.0000,142,4
703.5000,151,4
705.0000,146,4
706.5000,144,4
708.0000,139,4
709.5000,140,4
711.0000,140,4
712.5000,141,4
714.0000,140,4
715.5000,145,4
717.0000,149,4
718.5000,152,4
720.0000,162,4
721.5000,164,4
723.0000,167,4
724.5000,168,4
726.0000,164,4
727.5000,165,4
729.0000,165,4
730.5000,163,4
732.0000,161,4
733.5000,165,4
735.0000,167,4
736.5000,166,4
738.0000,163,4
739.5000,169,4
741.0000,166,4
742.5000,163,4
744.0000,167,4
745.5000,168,4
747.0000,167,4
748.5000,165,4
750.0000,162,4
751.5000,167,4
753.0000,165,4
754.5000,165,4
756.0000,163,4
757.5000,162,4
759.0000,160,4
760.5000,159,4
762.0000,162,4
763.5000,162,4
765.0000,163,4
766.5000,161,4
768.0000,157,4
769.5000,158,4
771.0000,157,4
772.5000,155,4
774.0000,146,4
775.5000,144,4
777.0000,142,4
778.5000,139,4
780.0000,135,4
781.5000,133,4
783.0000,129,4
784.5000,125,4
786.0000,126,4
787.5000,126,4
789.0000,123,4
790.5000,118,4
792.0000,118,4
793.5000,114,4
795.0000,115,4
796.5000,114,4
798.0000,120,4
799.5000,128,4
801.0000,129,4
802.5000,133,4
804.0000,130,4
805.5000,129,4
807.0000,126,4
808.5000,122,4
810.0000,119,4
811.5000,116,4
813.0000,118,4
814.5000,116,4
816.0000,117,4
817.5000,124,4
819.0000,122,4
820.5000,124,4
822.0000,128,4
823.5000,130,4
825.0000,135,4
826.5000,131,4
828.0000,134,4
829.5000,138,4
831.0000,137,4
832.5000,135,4
834.0000,138,4
835.5000,146,4
837.0000,145,4
838.5000,144,4
840.0000,148,4
841.5000,150,4
843.0000,146,4
844.5000,143,4
846.0000,140,4
847.5000,138,4
849.0000,137,4
850.5000,137,4
852.0000,137,4
853.5000,136,4
855.0000,140,4
856.5000,141,4
858.0000,139,4
859.5000,134,4
861.0000,132,4
862.5000,129,4
864.0000,126,4
865.5000,126,4
867.0000,127,4
868.5000,123,4
870.0000,124,4
871.5000,122,4
873.0000,125,4
874.5000,126,4
876.0000,124,4
877.5000,127,4
879.0000,130,4
880.5000,138,4
882.0000,142,4
883.5000,139,4
885.0000,137,4
886.5000,144,4
888.0000,139,4
889.5000,142,4
891.0000,139,4
892.5000,142,4
894.0000,148,4
895.5000,150,4
897.0000,149,4
898.5000,143,4
900.0000,141,4
901.5000,144,4
903.0000,144,4
904.5000,134,4
906.0000,131,4
907.5000,131,4
909.0000,133,4
910.5000,126,4
912.0000,122,4
913.5000,125,4
915.0000,135,4
916.5000,137,4
918.0000,135,4
919.5000,138,4
921.0000,141,4
922.5000,137,4
924.0000,142,4
925.5000,142,4
927.0000,142,4
928.5000,144,4
930.0000,151,4
931.5000,154,4
933.0000,159,4
934.5000,156,4
936.0000,156,4
937.5000,159,4
939.0000,157,4
940.5000,155,4
942.0000,152,4
943.5000,159,4
945.0000,154,4
946.5000,150,4
948.0000,149,4
949.5000,151,4
951.0000,149,4
952.5000,148,4
954.0000,153,4
955.5000,152,4
957.0000,152,4
958.5000,165,4
960.0000,164,4
961.5000,170,4
963.0000,168,4
964.5000,169,4
966.0000,168,4
967.5000,166,4
969.0000,175,4
970.5000,174,4
972.0000,171,4
973.5000,175,4
975.0000,173,4
976.5000,174,4
978.0000,176,4
979.5000,170,4
981.0000,169,4
982.5000,167,4
984.0000,165,4
985.5000,172,4
987.0000,182,4
988.5000,186,4
990.0000,185,4
991.5000,181,4
993.0000,184,4
994.5000,181,4
996.0000,181,4
997.5000,184,4
999.0000,181,4
1000.5000,183,4
1002.0000,180,4
1003.5000,177,4
1005.0000,173,4
1006.5000,172,4
1008.0000,173,4
1009.5000,174,4
1011.0000,177,4
1012.5000,176,4
1014.0000,173,4
1015.5000,179,4
1017.0000,178,4
1018.5000,176,4
1020.0000,177,4
1021.5000,176,4
1023.0000,176,4
1024.5000,170,4
1026.0000,177,4
1027.5000,179,4
1029.0000,183,4
1030.5000,186,4
1032.0000,195,4
1033.5000,193,4
1035.0000,190,4
1036.5000,189,4
1038.0000,194,4
1039.5000,192,4
1041.0000,191,4
1042.5000,185,4
1044.0000,183,4
1045.5000,187,4
1047.0000,183,4
1048.5000,187,4
1050.0000,187,4
1051.5000,191,4
1053.0000,191,4
1054.5000,193,4
1056.0000,193,4
1057.5000,193,4
1059.0000,196,4
1060.5000,197,4
1062.0000,196,4
1063.5000,197,4
1065.0000,201,4
1066.5000,200,4
1068.0000,210,4
1069.5000,210,4
1071.0000,216,4
1072.5000,221,4
1074.0000,217,4
1075.5000,218,4
1077.0000,217,4
1078.5000,217,4
1080.0000,215,4
1081.5000,219,4
1083.0000,219,4
1084.5000,225,4
1086.0000,228,4
1087.5000,227,4
1089.0000,223,4
1090.5000,220,4
1092.0000,221,4
1093.5000,228,4
1095.0000,229,4
1096.5000,228,4
1098.0000,226,4
1099.5000,226,4
1101.0000,223,4
1102.5000,222,4
1104.0000,220,4
1105.5000,226,4
1107.0000,230,4
1108.5000,229,4
1110.0000,230,4
1111.5000,230,4
1113.0000,231,4
1114.5000,228,4
1116.0000,231,4
1117.5000,233,4
1119.0000,233,4
1120.5000,231,4
1122.0000,233,4
1123.5000,234,4
1125.0000,233,4
1126.5000,229,4
1128.0000,230,4
1129.5000,236,4
1131.0000,242,4
1132.5000,239,4
1134.0000,238,4
1135.5000,245,4
1137.0000,247,4
1138.5000,248,4
1140.0000,246,4
1141.5000,252,4
1143.0000,255,4
1144.5000,258,4
1146.0000,262,4
1147.5000,262,4
1149.0000,264,4
1150.5000,265,4
1152.0000,266,4
1153.5000,269,4
1155.0000,270,4
1156.5000,265,4
1158.0000,268,4
1159.5000,261,4
1161.0000,256,4
1162.5000,261,4
1164.0000,260,4
1165.5000,263,4
1167.0000,265,4
1168.5000,261,4
1170.0000,262,4
1171.5000,272,4
1173.0000,273,4
1174.5000,271,4
1176.0000,277,4
1177.5000,275,4
1179.0000,271,4
1180.5000,277,4
1182.0000,286,4
1183.5000,292,4
1185.0000,294,4
1186.5000,299,4
1188.0000,296,4
1189.5000,304,4
1191.0000,309,4
1192.5000,308,4
1194.0000,317,4
1195.5000,316,4
1197.0000,315,4
1198.5000,318,4
1200.0000,317,4
1201.5000,320,4
1203.0000,317,4
1204.5000,316,4
1206.0000,318,4
1207.5000,324,4
1209.0000,330,4
1210.5000,332,4
1212.0000,335,4
1213.5000,333,4
1215.0000,330,4
1216.5000,325,4
1218.0000,325,4
1219.5000,322,4
1221.0000,323,4
1222.5000,325,4
1224.0000,325,4
1225.5000,326,4
1227.0000,328,4
1228.5000,323,4
1230.0000,323,4
1231.5000,324,4
1233.0000,321,4
1234.5000,321,4
1236.0000,317,4
1237.5000,316,4
1239.0000,314,4
1240.5000,315,4
1242.0000,310,4
1243.5000,308,4
1245.0000,305,4
1246.5000,305,4
1248.0000,308,4
1249.5000,304,4
1251.0000,302,4
1252.5000,303,4
1254.0000,298,4
1255.5000,294,4
1257.0000,294,4
1258.5000,296,4
1260.0000,295,4
1261.5000,293,4
1263.0000,294,4
1264.5000,294,4
1266.0000,301,4
1267.5000,306,4
1269.0000,304,4
1270.5000,303,4
1272.0000,307,4
1273.5000,314,4
1275.0000,315,4
1276.5000,316,4
1278.0000,318,4
1279.5000,319,4
1281.0000,316,4
1282.5000,313,4
1284.0000,311,4
1285.5000,309,4
1287.0000,317,4
1288.5000,324,4
1290.0000,324,4
1291.5000,329,4
1293.0000,338,4
1294.5000,335,4
1296.0000,339,4
1297.5000,342,4
1299.0000,342,4
1300.5000,339,4
1302.0000,340,4
1303.5000,339,4
1305.0000,334,4
1306.5000,338,4
1308.0000,339,4
1309.5000,337,4
1311.0000,335,4
1312.5000,332,4
1314.0000,330,4
1315.5000,326,4
1317.0000,323,4
1318.5000,322,4
1320.0000,320,4
1321.5000,330,4
1323.0000,334,4
1324.5000,332,4
1326.0000,329,4
1327.5000,326,4
1329.0000,330,4
1330.5000,328,4
1332.0000,325,4
1333.5000,323,4
1335.0000,318,4
1336.5000,318,4
1338.0000,320,4
1339.5000,318,4
1341.0000,315,4
1342.5000,315,4
1344.0000,314,4
1345.5000,314,4
1347.0000,314,4
1348.5000,309,4
1350.0000,308,4
1351.5000,306,4
1353.0000,307,4
1354.5000,304,4
1356.0000,298,4
1357.5000,303,4
1359.0000,299,4
1360.5000,301,4
1362.0000,294,4
1363.5000,295,4
1365.0000,301,4
1366.5000,300,4
1368.0000,297,4
1369.5000,297,4
1371.0000,300,4
1372.5000,298,4
1374.0000,298,4
1375.5000,296,4
1377.0000,298,4
1378.5000,298,4
1380.0000,299,4
1381.5000,303,4
1383.0000,303,4
1384.5000,301,4
1386.0000,301,4
1387.5000,300,4
1389.0000,299,4
1390.5000,303,4
1392.0000,305,4
1393.5000,309,4
1395.0000,311,4
1396.5000,307,4
1398.0000,305,4
1399.5000,303,4
1401.0000,307,4
1402.5000,307,4
1404.0000,314,4
1405.5000,315,4
1407.0000,318,4
1408.5000,319,4
1410.0000,315,4
1411.5000,312,4
1413.0000,312,4
1414.5000,308,4
1416.0000,308,4
1417.5000,313,4
1419.0000,320,4
1420.5000,318,4
1422.0000,317,4
1423.5000,322,4
1425.0000,321,4
1426.5000,319,4
1428.0000,315,4
1429.5000,313,4
1431.0000,317,4
1432.5000,320,4
1434.0000,316,4
1435.5000,313,4
1437.0000,321,4
1438.5000,319,4
1440.0000,318,4
1441.5000,317,4
1443.0000,324,4
1444.5000,325,4
1446.0000,325,4
1447.5000,328,4
1449.0000,328,4
1450.5000,327,4
1452.0000,319,4
1453.5000,317,4
1455.0000,315,4
1456.5000,316,4
1458.0000,314,4
1459.5000,313,4
1461.0000,313,4
1462.5000,314,4
1464.0000,315,4
1465.5000,312,4
1467.0000,309,4
1468.5000,316,4
1470.0000,310,4
1471.5000,308,4
1473.0000,310,4
1474.5000,309,4
1476.0000,304,4
1477.5000,304,4
1479.0000,301,4
1480.5000,303,4
1482.0000,303,4
1483.5000,301,4
1485.0000,304,4
1486.5000,303,4
1488.0000,300,4
1489.5000,306,4
1491.0000,303,4
1492.5000,305,4
1494.0000,312,4
1495.5000,311,4
1497.0000,315,4
1498.5000,309,4
1500.0000,310,4
1501.5000,310,4
1503.0000,311,4
1504.5000,309,4
1506.0000,309,4
1507.5000,308,4
1509.0000,305,4
1510.5000,310,4
1512.0000,314,4
1513.5000,312,4
1515.0000,317,4
1516.5000,315,4
1518.0000,313,4
1519.5000,309,4
1521.0000,304,4
1522.5000,309,4
1524.0000,316,4
1525.5000,318,4
1527.0000,315,4
1528.5000,312,4
1530.0000,318,4
1531.5000,315,4
1533.0000,311,4
1534.5000,316,4
1536.0000,318,4
1537.5000,318,4
