time,n_waiting,n_busy
300.0000,0,2
301.5000,0,1
303.0000,0,1
304.5000,0,3
306.0000,0,3
307.5000,2,4
309.0000,4,4
310.5000,2,4
312.0000,9,4
313.5000,6,4
315.0000,2,4
316.5000,0,4
318.0000,0,1
319.5000,0,1
321.0000,0,1
322.5000,1,4
324.0000,0,4
325.5000,0,3
327.0000,0,2
328.5000,0,1
330.0000,0,2
331.5000,0,0
333.0000,0,0
334.5000,3,4
336.0000,0,3
337.5000,0,2
339.0000,0,3
340.5000,0,2
342.0000,0,3
343.5000,0,1
345.0000,0,0
346.5000,0,1
348.0000,1,4
349.5000,0,2
351.0000,0,0
352.5000,0,0
354.0000,0,1
355.5000,0,0
357.0000,0,0
358.5000,0,0
360.0000,0,0
361.5000,0,0
363.0000,0,0
364.5000,1,4
366.0000,2,4
367.5000,0,0
369.0000,0,0
370.5000,0,0
372.0000,0,3
373.5000,0,1
375.0000,0,2
376.5000,0,2
378.0000,2,4
379.5000,3,4
381.0000,0,3
382.5000,0,2
384.0000,0,3
385.5000,0,4
387.0000,1,4
388.5000,0,2
390.0000,3,4
391.5000,0,3
393.0000,0,1
394.5000,0,4
396.0000,6,4
397.5000,4,4
399.0000,1,4
400.5000,0,4
402.0000,1,4
403.5000,1,4
405.0000,0,1
406.5000,0,3
408.0000,0,3
409.5000,0,2
411.0000,1,4
412.5000,0,3
414.0000,0,4
415.5000,0,1
417.0000,0,3
418.5000,0,3
420.0000,0,1
421.5000,0,2
423.0000,0,3
424.5000,0,2
426.0000,3,4
427.5000,8,4
429.0000,12,4
430.5000,12,4
432.0000,7,4
433.5000,5,4
435.0000,0,4
436.5000,7,4
438.0000,19,4
439.5000,20,4
441.0000,21,4
442.5000,13,4
444.0000,9,4
445.5000,8,4
447.0000,5,4
448.5000,2,4
450.0000,1,4
451.5000,3,4
453.0000,0,3
454.5000,0,2
456.0000,0,4
457.5000,0,2
459.0000,0,2
460.5000,0,1
462.0000,0,0
463.5000,0,3
465.0000,1,4
466.5000,0,2
468.0000,1,4
469.5000,0,3
471.0000,1,4
472.5000,0,3
474.0000,0,3
475.5000,0,4
477.0000,0,2
478.5000,0,1
480.0000,5,4
481.5000,11,4
483.0000,9,4
484.5000,7,4
486.0000,4,4
487.5000,0,3
489.0000,0,1
490.5000,0,0
492.0000,0,1
493.5000,0,1
495.0000,0,2
496.5000,0,1
498.0000,0,1
499.5000,0,2
501.0000,0,0
