time,n_waiting,n_busy
300.0000,0,0
301.5000,0,0
303.0000,0,2
304.5000,0,2
306.0000,0,4
307.5000,0,6
309.0000,0,5
310.5000,0,6
312.0000,0,2
313.5000,0,1
315.0000,0,1
316.5000,0,3
318.0000,0,1
319.5000,0,0
321.0000,0,2
322.5000,0,5
324.0000,0,1
325.5000,2,6
327.0000,2,6
328.5000,0,3
330.0000,1,6
331.5000,1,6
333.0000,0,4
334.5000,0,4
336.0000,0,2
337.5000,0,1
339.0000,0,1
340.5000,0,0
342.0000,0,1
343.5000,0,3
345.0000,0,1
346.5000,0,2
348.0000,4,6
349.5000,0,6
351.0000,0,1
352.5000,0,4
354.0000,0,0
355.5000,0,1
357.0000,0,1
358.5000,0,3
360.0000,0,5
361.5000,0,3
363.0000,0,4
364.5000,0,3
366.0000,0,4
367.5000,0,2
369.0000,0,2
370.5000,0,3
372.0000,0,2
373.5000,0,0
375.0000,0,3
376.5000,0,1
378.0000,0,0
379.5000,0,1
381.0000,0,2
382.5000,0,1
384.0000,0,0
385.5000,0,0
387.0000,0,0
388.5000,0,5
390.0000,0,2
391.5000,0,0
393.0000,0,2
394.5000,0,2
396.0000,0,2
397.5000,0,4
399.0000,0,1
400.5000,0,1
402.0000,0,2
403.5000,0,3
405.0000,0,5
406.5000,0,3
408.0000,0,1
409.5000,2,6
411.0000,0,4
412.5000,0,3
414.0000,6,6
415.5000,4,6
417.0000,0,3
418.5000,0,2
420.0000,0,1
421.5000,0,2
423.0000,0,1
424.5000,0,1
426.0000,0,0
427.5000,0,0
429.0000,0,0
430.5000,0,0
432.0000,0,0
433.5000,0,0
435.0000,0,1
436.5000,0,3
438.0000,0,1
439.5000,0,1
441.0000,0,1
442.5000,0,2
444.0000,0,3
445.5000,0,3
447.0000,0,0
448.5000,0,0
450.0000,0,0
451.5000,0,3
453.0000,2,6
454.5000,0,3
456.0000,0,3
457.5000,0,1
459.0000,0,2
460.5000,0,0
462.0000,0,3
463.5000,0,0
465.0000,0,3
466.5000,0,2
468.0000,0,2
469.5000,0,1
471.0000,0,1
472.5000,0,1
474.0000,0,1
475.5000,0,1
477.0000,0,2
478.5000,0,5
480.0000,0,2
481.5000,0,3
483.0000,0,1
484.5000,0,2
486.0000,0,0
487.5000,0,2
489.0000,0,3
490.5000,0,0
492.0000,0,0
493.5000,0,0
495.0000,3,6
496.5000,1,6
498.0000,0,4
499.5000,0,2
501.0000,0,1
502.5000,0,1
504.0000,0,0
505.5000,0,0
507.0000,0,0
508.5000,0,1
510.0000,0,0
511.5000,0,0
513.0000,0,0
514.5000,0,0
516.0000,0,2
517.5000,0,2
519.0000,0,0
520.5000,0,1
522.0000,0,0
523.5000,5,6
525.0000,8,6
526.5000,9,6
528.0000,7,6
529.5000,0,6
531.0000,0,6
532.5000,0,4
534.0000,0,6
535.5000,0,3
537.0000,0,3
538.5000,0,2
540.0000,2,6
541.5000,0,3
543.0000,0,2
544.5000,0,0
546.0000,0,2
547.5000,0,0
549.0000,0,0
550.5000,0,0
552.0000,0,3
553.5000,0,3
555.0000,0,1
556.5000,2,6
558.0000,0,4
559.5000,0,2
561.0000,0,2
562.5000,0,3
564.0000,0,0
565.5000,0,1
567.0000,0,5
568.5000,0,4
570.0000,0,1
571.5000,0,1
573.0000,0,0
574.5000,0,1
576.0000,0,1
577.5000,0,1
579.0000,0,0
580.5000,0,2
582.0000,0,0
583.5000,0,0
585.0000,0,0
586.5000,0,5
588.0000,3,6
589.5000,1,6
591.0000,0,2
592.5000,0,1
594.0000,0,1
595.5000,0,2
597.0000,0,3
598.5000,0,2
600.0000,0,0
601.5000,0,0
603.0000,0,3
604.5000,0,4
606.0000,0,1
607.5000,0,2
609.0000,0,2
610.5000,0,2
612.0000,0,2
613.5000,0,2
615.0000,0,3
616.5000,0,5
618.0000,0,3
619.5000,0,3
621.0000,0,2
622.5000,0,0
624.0000,0,2
625.5000,0,1
627.0000,5,6
628.5000,0,4
630.0000,0,4
631.5000,0,1
633.0000,0,0
634.5000,0,5
636.0000,6,6
637.5000,3,6
639.0000,9,6
640.5000,7,6
642.0000,0,6
643.5000,2,6
645.0000,0,2
646.5000,5,6
648.0000,2,6
649.5000,2,6
651.0000,0,3
652.5000,0,2
654.0000,0,1
655.5000,0,1
657.0000,0,1
658.5000,0,4
660.0000,0,4
661.5000,0,2
663.0000,0,2
664.5000,0,5
666.0000,0,6
667.5000,7,6
669.0000,11,6
670.5000,12,6
672.0000,8,6
673.5000,8,6
675.0000,6,6
676.5000,4,6
678.0000,0,3
679.5000,3,6
681.0000,0,3
682.5000,0,0
684.0000,0,0
685.5000,0,3
687.0000,0,2
688.5000,0,1
690.0000,0,3
691.5000,0,0
693.0000,0,1
694.5000,0,3
696.0000,0,1
697.5000,0,2
699.0000,0,0
700.5000,0,2
702.0000,0,2
703.5000,0,1
705.0000,0,0
706.5000,0,5
708.0000,0,5
709.5000,0,1
711.0000,0,3
712.5000,0,1
714.0000,0,1
715.5000,0,2
717.0000,0,4
718.5000,0,4
720.0000,0,4
721.5000,0,2
723.0000,0,1
724.5000,0,3
726.0000,0,6
727.5000,0,3
729.0000,0,2
730.5000,0,4
732.0000,0,2
733.5000,0,3
735.0000,0,1
736.5000,0,3
738.0000,0,3
739.5000,3,6
741.0000,0,3
742.5000,0,3
744.0000,0,5
745.5000,0,4
747.0000,0,2
748.5000,0,1
750.0000,0,2
751.5000,0,1
753.0000,0,3
754.5000,0,1
756.0000,0,2
757.5000,0,0
759.0000,0,3
760.5000,0,1
762.0000,0,1
763.5000,0,4
765.0000,0,0
766.5000,0,3
768.0000,0,3
769.5000,0,2
771.0000,0,2
772.5000,0,1
774.0000,2,6
775.5000,3,6
777.0000,7,6
778.5000,6,6
780.0000,0,6
781.5000,0,3
783.0000,0,4
784.5000,0,0
786.0000,0,0
787.5000,0,0
789.0000,0,1
790.5000,0,2
792.0000,0,3
793.5000,0,0
795.0000,0,1
796.5000,0,0
798.0000,0,0
799.5000,0,1
801.0000,0,5
802.5000,0,6
804.0000,0,4
805.5000,0,3
807.0000,3,6
808.5000,0,5
810.0000,0,4
811.5000,0,2
813.0000,0,1
814.5000,0,2
816.0000,0,5
817.5000,0,4
819.0000,0,2
820.5000,0,1
822.0000,0,4
823.5000,0,4
825.0000,0,2
826.5000,0,2
828.0000,0,1
829.5000,0,5
831.0000,0,4
832.5000,0,3
834.0000,0,2
835.5000,0,1
837.0000,0,3
838.5000,1,6
840.0000,0,1
841.5000,0,1
843.0000,0,2
844.5000,0,3
846.0000,0,2
847.5000,0,3
849.0000,0,6
850.5000,0,6
852.0000,0,2
853.5000,0,0
855.0000,0,0
856.5000,0,0
858.0000,0,0
859.5000,0,1
861.0000,0,2
862.5000,0,0
864.0000,0,1
865.5000,0,3
867.0000,0,1
868.5000,0,1
870.0000,0,0
871.5000,0,0
873.0000,0,3
874.5000,0,2
876.0000,0,5
877.5000,0,3
879.0000,0,1
880.5000,0,0
882.0000,0,0
883.5000,0,0
885.0000,0,0
886.5000,0,2
888.0000,0,6
889.5000,2,6
891.0000,0,3
892.5000,5,6
894.0000,12,6
895.5000,9,6
897.0000,13,6
898.5000,13,6
900.0000,19,6
901.5000,16,6
903.0000,17,6
904.5000,20,6
906.0000,20,6
907.5000,17,6
909.0000,12,6
910.5000,8,6
912.0000,2,6
913.5000,0,5
915.0000,0,2
916.5000,0,1
918.0000,0,1
919.5000,0,0
921.0000,0,2
922.5000,0,1
924.0000,0,2
925.5000,0,5
927.0000,0,5
928.5000,1,6
930.0000,0,6
931.5000,0,5
933.0000,0,2
934.5000,0,1
936.0000,0,2
937.5000,0,3
939.0000,0,1
940.5000,0,3
942.0000,0,1
943.5000,0,3
945.0000,0,2
946.5000,0,0
948.0000,0,1
949.5000,0,2
951.0000,0,0
952.5000,0,1
954.0000,0,3
955.5000,8,6
957.0000,2,6
958.5000,0,5
960.0000,0,6
961.5000,0,3
963.0000,0,1
964.5000,0,4
966.0000,0,2
967.5000,0,1
969.0000,0,0
970.5000,0,3
972.0000,0,3
973.5000,0,1
975.0000,0,5
976.5000,0,4
978.0000,0,4
979.5000,0,1
981.0000,0,0
982.5000,0,2
984.0000,0,1
985.5000,0,1
987.0000,0,2
988.5000,0,4
990.0000,0,4
991.5000,0,6
993.0000,0,6
994.5000,0,5
996.0000,0,3
997.5000,0,1
999.0000,0,0
1000.5000,0,0
1002.0000,0,2
1003.5000,0,1
1005.0000,0,2
1006.5000,0,2
1008.0000,0,0
1009.5000,0,2
1011.0000,0,1
1012.5000,0,0
1014.0000,0,1
1015.5000,0,0
1017.0000,0,0
1018.5000,0,6
1020.0000,0,1
1021.5000,0,2
1023.0000,0,6
1024.5000,0,3
1026.0000,0,0
1027.5000,0,0
1029.0000,0,1
1030.5000,0,0
1032.0000,0,2
1033.5000,0,5
1035.0000,0,1
1036.5000,0,3
1038.0000,0,2
1039.5000,0,2
1041.0000,0,0
1042.5000,0,0
1044.0000,0,2
1045.5000,0,1
1047.0000,0,1
1048.5000,0,1
1050.0000,0,4
1051.5000,0,2
1053.0000,0,3
1054.5000,0,1
1056.0000,0,2
1057.5000,0,2
1059.0000,0,1
1060.5000,0,1
1062.0000,0,6
1063.5000,0,5
1065.0000,0,5
1066.5000,0,5
1068.0000,0,3
1069.5000,0,5
1071.0000,0,0
1072.5000,0,2
1074.0000,0,1
1075.5000,0,0
1077.0000,0,3
1078.5000,0,3
1080.0000,0,5
1081.5000,0,2
1083.0000,0,1
1084.5000,0,2
1086.0000,0,1
1087.5000,0,1
1089.0000,0,3
1090.5000,0,1
1092.0000,0,3
1093.5000,0,4
1095.0000,0,3
1096.5000,0,0
1098.0000,0,1
1099.5000,0,1
1101.0000,0,0
1102.5000,0,0
1104.0000,0,2
1105.5000,0,2
