time,n_waiting,n_busy
300.0000,3,4
301.5000,5,4
303.0000,4,4
304.5000,1,4
306.0000,0,3
307.5000,0,1
309.0000,0,0
310.5000,0,0
312.0000,0,2
313.5000,5,4
315.0000,0,3
316.5000,0,1
318.0000,0,0
319.5000,0,4
321.0000,0,0
322.5000,0,2
324.0000,3,4
325.5000,0,2
327.0000,0,4
328.5000,0,1
330.0000,0,1
331.5000,3,4
333.0000,1,4
334.5000,1,4
336.0000,0,3
337.5000,0,2
339.0000,0,1
340.5000,0,0
342.0000,0,3
343.5000,0,2
345.0000,0,1
346.5000,8,4
348.0000,7,4
349.5000,6,4
351.0000,3,4
352.5000,1,4
354.0000,0,2
355.5000,0,1
357.0000,0,2
358.5000,0,1
360.0000,0,0
361.5000,0,2
363.0000,2,4
364.5000,1,4
366.0000,0,2
367.5000,0,2
369.0000,3,4
370.5000,2,4
372.0000,5,4
373.5000,3,4
375.0000,0,2
376.5000,0,1
378.0000,0,1
379.5000,0,2
381.0000,0,3
382.5000,0,0
384.0000,0,0
385.5000,0,3
387.0000,0,3
388.5000,0,1
390.0000,0,1
391.5000,0,0
393.0000,0,2
394.5000,1,4
396.0000,11,4
397.5000,5,4
399.0000,3,4
400.5000,0,1
402.0000,0,2
403.5000,0,1
405.0000,0,0
406.5000,0,4
408.0000,0,2
409.5000,0,1
411.0000,0,2
412.5000,0,4
414.0000,0,4
415.5000,0,0
417.0000,0,0
418.5000,0,0
420.0000,0,3
421.5000,0,4
423.0000,0,1
424.5000,0,4
426.0000,3,4
427.5000,2,4
429.0000,0,4
430.5000,0,3
432.0000,9,4
433.5000,15,4
435.0000,11,4
436.5000,8,4
438.0000,12,4
439.5000,15,4
441.0000,12,4
442.5000,8,4
444.0000,3,4
445.5000,6,4
447.0000,4,4
448.5000,2,4
450.0000,0,2
451.5000,0,2
453.0000,0,1
454.5000,0,3
456.0000,0,2
457.5000,0,1
459.0000,0,0
460.5000,0,2
462.0000,0,2
463.5000,0,1
465.0000,1,4
466.5000,0,4
468.0000,4,4
469.5000,0,2
471.0000,0,2
472.5000,0,0
474.0000,0,2
475.5000,0,0
477.0000,0,4
478.5000,0,2
480.0000,8,4
481.5000,9,4
483.0000,6,4
484.5000,4,4
486.0000,0,3
487.5000,0,2
489.0000,0,0
490.5000,0,3
492.0000,0,3
493.5000,0,3
495.0000,0,3
496.5000,0,1
498.0000,0,1
499.5000,0,1
501.0000,0,1
502.5000,0,1
504.0000,0,0
505.5000,0,2
507.0000,0,4
508.5000,0,2
510.0000,0,3
511.5000,0,2
513.0000,0,3
514.5000,0,4
516.0000,0,4
517.5000,0,4
519.0000,5,4
520.5000,4,4
522.0000,4,4
523.5000,8,4
525.0000,7,4
526.5000,4,4
528.0000,2,4
529.5000,6,4
531.0000,2,4
532.5000,0,1
534.0000,0,1
535.5000,1,4
537.0000,0,3
538.5000,9,4
540.0000,8,4
541.5000,3,4
543.0000,4,4
544.5000,9,4
546.0000,12,4
547.5000,12,4
549.0000,15,4
550.5000,14,4
552.0000,10,4
553.5000,8,4
555.0000,8,4
556.5000,10,4
558.0000,8,4
559.5000,7,4
561.0000,9,4
562.5000,11,4
564.0000,10,4
565.5000,11,4
567.0000,7,4
568.5000,9,4
570.0000,7,4
571.5000,6,4
573.0000,3,4
574.5000,0,4
576.0000,0,2
577.5000,7,4
579.0000,6,4
580.5000,7,4
582.0000,4,4
583.5000,3,4
585.0000,11,4
586.5000,16,4
588.0000,13,4
589.5000,7,4
591.0000,8,4
592.5000,14,4
594.0000,13,4
595.5000,9,4
597.0000,4,4
598.5000,0,1
600.0000,0,3
601.5000,0,2
603.0000,0,3
604.5000,0,1
606.0000,0,3
607.5000,0,1
609.0000,0,3
610.5000,0,3
612.0000,0,1
613.5000,1,4
615.0000,0,4
616.5000,0,2
618.0000,0,0
619.5000,0,0
621.0000,0,4
622.5000,0,1
624.0000,0,1
625.5000,0,2
627.0000,2,4
628.5000,1,4
630.0000,0,4
631.5000,1,4
633.0000,5,4
634.5000,5,4
636.0000,12,4
637.5000,20,4
639.0000,21,4
640.5000,21,4
642.0000,20,4
643.5000,15,4
645.0000,12,4
646.5000,11,4
648.0000,12,4
649.5000,11,4
651.0000,8,4
652.5000,3,4
654.0000,6,4
655.5000,0,4
657.0000,8,4
658.5000,14,4
660.0000,9,4
661.5000,10,4
663.0000,9,4
664.5000,7,4
666.0000,8,4
667.5000,4,4
669.0000,4,4
670.5000,2,4
672.0000,3,4
673.5000,0,2
675.0000,0,1
676.5000,0,1
678.0000,0,4
679.5000,0,4
681.0000,3,4
682.5000,2,4
684.0000,3,4
685.5000,0,2
687.0000,0,3
688.5000,0,0
690.0000,0,0
691.5000,0,3
693.0000,0,0
694.5000,0,0
696.0000,0,1
697.5000,0,2
699.0000,0,1
700.5000,0,2
702.0000,6,4
703.5000,4,4
705.0000,2,4
706.5000,0,3
708.0000,0,2
709.5000,1,4
711.0000,2,4
712.5000,0,4
714.0000,5,4
715.5000,6,4
717.0000,3,4
718.5000,0,4
720.0000,0,2
721.5000,0,0
723.0000,0,0
724.5000,0,1
726.0000,3,4
727.5000,0,3
729.0000,0,3
730.5000,0,3
732.0000,0,2
733.5000,0,1
735.0000,0,2
736.5000,0,0
738.0000,0,3
739.5000,0,1
741.0000,0,0
742.5000,1,4
744.0000,1,4
745.5000,1,4
747.0000,0,4
748.5000,0,2
750.0000,0,1
751.5000,0,2
753.0000,0,2
754.5000,2,4
756.0000,0,4
757.5000,0,4
759.0000,0,3
760.5000,0,1
762.0000,0,3
763.5000,0,3
765.0000,0,4
766.5000,1,4
768.0000,0,1
769.5000,0,3
771.0000,0,2
772.5000,0,0
774.0000,0,1
775.5000,0,4
777.0000,0,2
778.5000,0,0
780.0000,0,0
781.5000,0,3
783.0000,2,4
784.5000,1,4
786.0000,1,4
787.5000,1,4
789.0000,0,1
790.5000,0,0
792.0000,0,0
793.5000,0,1
795.0000,0,2
796.5000,1,4
798.0000,4,4
799.5000,0,4
801.0000,0,4
802.5000,0,3
804.0000,1,4
805.5000,0,2
807.0000,0,4
808.5000,6,4
810.0000,4,4
811.5000,11,4
813.0000,10,4
814.5000,3,4
816.0000,1,4
817.5000,1,4
819.0000,0,1
820.5000,0,1
822.0000,0,0
823.5000,0,0
825.0000,0,0
826.5000,0,2
828.0000,2,4
829.5000,0,3
831.0000,0,4
832.5000,0,2
834.0000,0,1
835.5000,0,2
837.0000,8,4
838.5000,6,4
840.0000,0,3
841.5000,0,4
843.0000,0,1
844.5000,0,0
846.0000,0,0
847.5000,0,0
849.0000,0,0
850.5000,0,1
852.0000,0,3
853.5000,0,3
855.0000,3,4
856.5000,0,4
858.0000,3,4
859.5000,0,4
861.0000,0,3
862.5000,1,4
864.0000,0,3
865.5000,0,2
867.0000,0,3
868.5000,0,2
870.0000,0,1
871.5000,6,4
873.0000,12,4
874.5000,10,4
876.0000,17,4
877.5000,15,4
879.0000,12,4
880.5000,10,4
882.0000,5,4
883.5000,6,4
885.0000,5,4
886.5000,0,3
888.0000,0,0
889.5000,4,4
891.0000,5,4
892.5000,0,3
894.0000,4,4
895.5000,0,4
897.0000,0,2
898.5000,1,4
900.0000,1,4
901.5000,0,2
903.0000,0,3
904.5000,3,4
906.0000,0,3
907.5000,0,2
909.0000,5,4
910.5000,6,4
912.0000,3,4
913.5000,1,4
915.0000,5,4
916.5000,9,4
918.0000,8,4
919.5000,7,4
